A_id,B_id
3222,233
3222,1306
3224,233
3224,1306
3225,1283
3234,233
3234,1306
3236,1204
3251,233
3276,233
3276,1306
3297,233
3297,1306
3303,838
3303,1098
3303,1099
3305,1204
3324,1642
3324,2192
3324,2449
3324,2965
3324,2966
3324,2977
3324,3024
3324,3570
3324,4107
3324,4108
3324,4109
3324,4111
3329,233
3335,233
3335,1306
3356,233
3356,1306
3371,1218
3371,1447
3395,233
3395,1306
3407,233
3407,1306
3416,323
3421,1204
3426,233
3426,1306
3430,233
3430,1306
3450,233
3450,1306
3464,1076
3465,233
3491,233
3491,1306
3500,1105
3524,1204
3532,1204
3541,233
3541,1306
3554,233
3554,1306
3565,838
3565,1098
3565,1099
3611,233
3611,1306
3612,233
3612,1306
3621,1204
3637,838
3637,1098
3637,2233
3639,233
3639,1306
3641,2929
3641,6736
3662,233
3662,1306
3670,4215
3674,233
3674,1306
3677,233
3677,1306
3680,1197
3715,838
3715,1098
3715,1099
3733,1329
3733,2920
3733,4227
3736,233
3751,233
3751,1306
3752,1590
3753,233
3753,1306
3775,1105
3798,1642
3798,2192
3798,2449
3798,2965
3798,2966
3798,2977
3798,3024
3798,3570
3798,4107
3798,4108
3798,4109
3798,4111
3827,233
3827,1306
3856,838
3874,1160
3885,1197
3893,1197
3913,233
3913,1306
3916,233
3916,1306
3918,233
3918,1306
3930,1204
3951,3778
3953,838
3953,1098
3959,1535
3979,1535
4014,1591
4030,1766
4030,2167
4030,2233
4030,2444
4030,3087
4030,3089
4030,3754
4030,4198
4030,4236
4070,1682
4075,4758
4135,1591
4167,4981
4181,5746
4193,1766
4193,2167
4193,2233
4193,2444
4193,2670
4193,3087
4193,3089
4193,3754
4193,4198
4193,4236
4252,1591
4260,1591
4267,2878
4376,1065
4376,1068
4376,1088
4376,1090
4376,1093
4376,1199
4390,1366
4418,1591
4532,3015
4539,1591
4542,1741
4611,1396
4746,2247
4762,2444
4762,2670
4826,1467
4831,2247
4834,2247
4836,2247
4974,6107
4979,2247
4986,3091
5001,1396
5063,1172
5078,1205
5094,4525
5102,1124
5102,1201
5221,5521
5255,3367
5298,1396
5387,1205
5488,5746
5490,1766
5490,2167
5490,2233
